time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-02T02:26:57.631Z,50.9884,179.6145,10,5.3,mww,,49,0.913,0.8,us,us6000g8cc,2021-12-02T02:44:42.439Z,"278 km WSW of Adak, Alaska",earthquake,6.4,1.9,0.06,27,reviewed,us,us
2021-12-02T02:03:33.070Z,19.5011673,-155.6591644,2.789999962,3.18,ml,49,55,,0.219999999,hv,hv72819152,2021-12-02T02:40:58.338Z,"22 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.4,0.550000012,3.41,36,automatic,hv,hv
2021-12-02T01:04:11.579Z,60.0464,-141.5958,3.8,3.1,ml,,,,0.81,ak,ak021ffp6x9q,2021-12-02T01:17:39.055Z,"118 km WNW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-12-02T00:47:12.770Z,19.20266724,-155.3966675,31.89999962,2.67000008,md,32,172,,0.090000004,hv,hv72819057,2021-12-02T00:50:25.360Z,"8 km E of P?hala, Hawaii",earthquake,0.7,0.860000014,0.910000026,5,automatic,hv,hv
2021-12-01T23:55:08.176Z,54.9852,-157.5245,15.5,3.8,ml,,,,0.63,ak,ak021fef219j,2021-12-02T00:50:54.392Z,"145 km SE of Perryville, Alaska",earthquake,,1,,,reviewed,ak,ak
2021-12-01T22:30:46.035Z,12.5946,-89.4101,10,4.7,mb,,170,1.053,0.9,us,us6000g8aj,2021-12-02T02:15:21.040Z,"99 km S of La Libertad, El Salvador",earthquake,7.3,2,0.078,50,reviewed,us,us
2021-12-01T22:08:02.280Z,17.9903,-66.765,14,2.91,md,16,166,0.1152,0.23,pr,pr2021335004,2021-12-01T23:55:46.695Z,"3 km S of Magas Arriba, Puerto Rico",earthquake,0.55,0.64,0.21,9,reviewed,pr,pr
2021-12-01T20:20:29.264Z,-60.0125,-24.0763,10,4.9,mb,,192,8.85,0.61,us,us6000g89s,2021-12-01T20:36:28.040Z,,earthquake,16.1,2,0.094,35,reviewed,us,us
2021-12-01T18:25:41.673Z,-19.2616,-69.2241,118.48,4.7,mwr,,82,0.405,0.92,us,us6000g895,2021-12-01T21:35:52.173Z,"142 km SE of Arica, Chile",earthquake,5.9,1.4,,,reviewed,us,guc
2021-12-01T17:23:01.894Z,-10.3692,161.3168,40.06,5.3,mww,,18,1.635,0.94,us,us6000g88z,2021-12-01T19:09:36.040Z,"66 km W of Kirakira, Solomon Islands",earthquake,7.8,4.6,0.083,14,reviewed,us,us
2021-12-01T16:58:38.264Z,36.2037,140.0476,68.06,5,mww,,106,1.521,0.67,us,us6000g88v,2021-12-02T02:18:04.522Z,"4 km W of Tsukuba, Japan",earthquake,6.9,6.1,0.093,11,reviewed,us,us
2021-12-01T15:24:12.586Z,61.2677,-139.0179,0.2,2.9,ml,,,,1.23,ak,ak021fea3xrq,2021-12-01T15:33:37.871Z,"Southern Yukon Territory, Canada",earthquake,,1,,,automatic,ak,ak
2021-12-01T14:31:36.768Z,40.314,140.86,7.72,4.5,mb,,126,0.499,1.59,us,us6000g874,2021-12-01T16:45:43.040Z,"15 km NNE of Hanawa, Japan",earthquake,5.7,4.8,0.204,7,reviewed,us,us
2021-12-01T12:50:37.420Z,19.2218,-67.746,31,3.34,md,14,256,0.8788,0.47,pr,pr2021335003,2021-12-01T13:28:35.927Z,"99 km NE of Punta Cana, Dominican Republic",earthquake,2.45,23.49,0.08,11,reviewed,pr,pr
2021-12-01T11:30:11.454Z,31.0599,142.4848,10,4.5,mb,,136,3.056,1,us,us6000g86m,2021-12-01T12:17:12.040Z,"Izu Islands, Japan region",earthquake,8.3,1.9,0.127,18,reviewed,us,us
